Country,Assignee,Count
FI,IQM FINLAND OY,92
SE,TELEFON AB ET LM ERICSSON AB,32
US,MICROSOFT TECHNOLOGY LICENSING LLC,20
FI,NOKIA TECHNOLOGY OY,11
FI,TEKNOLOGIAN TUTKIMUSKESKUS VTT,11
None,UNIV OF COPENHAGEN,9
FI,ALGORITHMIQ OY,6
None,QDEVIL APS,6
US,EXXONMOBIL UPSTREAM RESEARCH CO,4
SE,WACQT IP AB,4
None,AALTO UNIV FOUNDATION SR,3
US,IBM CORP,3
NL,LOGINED BV,3
US,MICROSOFT CORP,3
FI,QUANSCIENT OY,3
FI,SEMIQON TECH OY,3
SE,AAKERMAN JOHAN,2
DK,AARHUS UNIV,2
FI,BLUEFORS OY,2
None,CORNING INC,2
SE,EPINOVATECH AB,2
US,GOOGLE LLC,2
SG,HORIZON QUANTUM COMPUTING PTE LTD,2
None,MELLANOX TECHNOLOGY LTD,2
DK,MOLECULAR QUANTUM SOLUTIONS APS,2
None,NVIDIA CORP,2
GB,QUANTUM MOTION TECH LTD,2
SE,SCALINQ AB,2
DE,SIEMENS AG,2
SE,SWEDEN QUANTUM AB,2
FI,TAMPERE UNIV TECHNOLOGY,2
None,UNIV DANMARK,2
US,UNIV VERMONT,2
IE,ACCENTURE GLOBAL SOLUTIONS LTD,1
None,ALSTOM TECHNOLOGY LTD,1
SE,ANDREKSON PETER AVO,1
None,BAKER HUGHES INC,1
US,BARNHILL STEPHEN D,1
AU,BIOTEMPUS LTD,1
SE,BOURENNANE MOHAMED,1
SE,BURGER PAUL,1
FI,CARCELL PARK LTD,1
US,CARDIODX INC,1
SE,CHALMERS VENTURES AB,1
US,CHEVRON USA INC,1
None,CODEXIS INC,1
None,CODEXIS MAYFLOWER HOLDING LLC,1
None,COLDQUANTA INC,1
None,COLLIBRA NV SA,1
None,COLLIBRA NVSA,1
None,COOPER TIMOTHY PATRICK,1
None,CORRELOGIC SYSTEM INC,1
None,CSIR,1
None,D WAVE SYSTEM INC,1
None,DEJIMA CORP,1
None,DIAGNO INTERNAT BV,1
None,ETH ZURICH SWISS FEDERAL INSTITUTE OF TECHNOLOGY,1
None,EUSKAL HERRIKO UNIBERTSITATE,1
None,F HOFFMANN LA ROCHE & CO,1
None,FEDERAL INSTITUTE OF TECHNOLOGY IN LAUSANNE,1
None,FRED BERGMAN HEALTHCARE PL,1
None,FREE UNIV OF BRUSSELS,1
None,FREY JOEY,1
None,GAMIDA FOR LIFE BV,1
None,GENERAL ELECTRIC CO,1
None,GN RESOUND AS,1
None,H2L CO LTD,1
None,HALLIBURTON ENERGY SERVICE INC,1
SE,HJERPEKJOEN HAUG TROND,1
None,HORUS THERAPEUTICS INC,1
None,HVIDOVRE HOSPITAL,1
None,INTERACT DEVICES INC,1
None,KOLVIK JOHAN,1
None,KONE CORP,1
None,KRONES AG,1
DK,KVANTIFY APS,1
None,LANDMARK GRAPHICS CORP,1
SE,LARSSON JAN AAKE,1
None,M2ANY GMBH,1
US,MASTERCARD INTERNATIONAL INC,1
None,MICROSOFT INTERNATIONAL HOLDING BV,1
None,MILESTONE SYSTEM AS,1
SE,MYCRONIC AB,1
SE,NANOSC AB,1
None,NEC CORP,1
None,NOKIA NETWORKS OY,1
None,NOKIA OYJ,1
FI,NOKIA SOLUTIONS & NETWORKS OY,1
GB,NPL MANAGEMENT LTD,1
None,OLSSON SAMUEL LARS IVAR,1
None,OUTOTEC OYJ,1
None,PFIZER INC,1
None,PLANMECA OY,1
US,PSIQUANTUM CORP,1
SE,QET SWEDEN AB,1
None,RIDGEVIEW DIAGNOSTICS AB,1
None,SCHLUMBERGER TECHNOLOGY BV,1
None,SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ BV,1
None,SHT CO LTD,1
