Application Year,"G06N10/00 : Quantum computing, i.e. information processing based on quantum-mechanical phenomena",G06N7/01,"G06N10/20 : Models of quantum computing, e.g. quantum circuits or universal quantum computers",G06N7/005 : Probabilistic networks,"B82Y10/00 : Nanotechnology for information processing, storage or transmission, e.g. quantum computing or single electron logic"
2010,0,0,0,0,0
2011,0,1,0,0,1
2012,0,0,0,0,0
2014,0,0,0,1,0
2015,0,2,2,1,0
2016,0,0,0,1,0
2017,0,0,0,4,1
2018,1,2,0,5,3
2019,4,4,3,4,6
2020,19,14,5,8,11
2021,22,12,9,4,5
2022,34,20,14,4,10
2023,44,18,11,13,8
2024,23,9,6,5,2
2025,10,2,0,1,0
