Current Owner,Total,G06N10/00,G06N7/01,G06N10/20,G06N7/005,B82Y10/00
ERICSSON AB,32.0,5,12,24,5,2
MICROSOFT CORP,24.0,14,8,0,7,7
NOKIA CORP,14.0,3,4,3,3,2
KOBENHAVNS UNIVERSITET,9.0,7,3,0,0,4
ALGORITHMIQ OY,6.0,3,3,3,0,0
QM TECHNOLOGY APS,6.0,5,2,0,0,1
VTT TECHNICAL RESEARCH CENTRE OF FINLAND LTD,6.0,5,0,0,2,2
EXXON MOBIL CORP,4.0,0,0,0,0,0
NVIDIA CORP,4.0,3,0,1,1,0
WACQT IP AB,4.0,4,0,0,2,0
AALTO KORKEAKOULUSAATIO SR,3.0,3,1,0,0,1
HALLIBURTON CO,3.0,0,0,0,0,0
IBM CORP,3.0,1,3,1,1,0
LOGINED BV,3.0,0,0,0,0,0
QUANSCIENT OY,3.0,1,2,2,0,0
