Current Owner,Total,G06N10/40,G06N10/00,H10N69/00,G06N10/20,B82Y10/00
IQM FINLAND OY,92,56,17,25,20,6
ERICSSON AB,32,1,12,0,2,2
MICROSOFT CORP,24,4,6,5,3,0
NOKIA CORP,14,2,6,1,1,4
KOBENHAVNS UNIVERSITET,9,4,5,1,1,3
ALGORITHMIQ OY,6,2,1,0,2,0
QM TECHNOLOGY APS,6,2,3,1,1,1
VTT TECHNICAL RESEARCH CENTRE OF FINLAND LTD,6,2,2,2,0,1
EXXON MOBIL CORP,4,0,0,0,0,0
NVIDIA CORP,4,2,1,0,0,0
WACQT IP AB,4,4,1,0,0,0
AALTO KORKEAKOULUSAATIO SR,3,2,1,0,1,1
HALLIBURTON CO,3,0,0,0,0,0
IBM CORP,3,1,1,0,1,0
LOGINED BV,3,0,0,0,0,0
